timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776848643953,2070,T01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Virtual Student 1-1,,true,,2881,348,1,1,null,0,1288,1504
1776848644009,2070,POST API Login,200,OK,Virtual Student 1-1,text,true,,2881,348,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,2069,0,1504
1776848647313,3359,T02_Learning_Assessment,200,"Number of samples in transaction : 5, number of failing samples : 0",Virtual Student 1-1,,true,,65915,10124,1,1,null,0,506,0
1776848647314,469,GET Learning Assessment Page/API,200,OK,Virtual Student 1-1,text,true,,723,2032,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,469,0,0
1776848647784,457,GET Questionnaire Page,200,OK,Virtual Student 1-1,text,true,,2637,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,457,0,0
1776848648437,542,POST User Questionnaire Session ID,200,OK,Virtual Student 1-1,text,true,,638,2055,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,541,0,0
1776848649057,460,GET newUserQuestionnaire Page,200,OK,Virtual Student 1-1,text,true,,650,2005,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/1172,460,0,0
1776848649583,1431,GET All Questions,200,OK,Virtual Student 1-1,text,true,,61267,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,510,0,0
1776848651178,19694,T03_Learning_Space,200,"Number of samples in transaction : 10, number of failing samples : 0",Virtual Student 1-1,,true,,243956,71846,1,1,null,0,239,0
1776848651179,478,GET Subscription Active,200,OK,Virtual Student 1-1,text,true,,2693,2088,1,1,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,478,0,0
1776848651659,477,GET Tags By SubjectIds,200,OK,Virtual Student 1-1,text,true,,713,2102,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",477,0,0
1776848652138,768,GET Textbook Learning Resources,200,OK,Virtual Student 1-1,text,true,,1463,2137,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=TEXTBOOK&subjectIds=2,14,15,6,7&limit=12&offset=0",768,0,0
1776848652908,1785,GET Navigate TextBook,200,OK,Virtual Student 1-1,text,true,,53076,2087,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/14/navigation,1285,0,0
