timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776822589280,3101,T01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Virtual Student 1-1,,true,,2892,349,1,1,null,0,2024,2507
1776822589341,3101,POST API Login,200,OK,Virtual Student 1-1,text,true,,2892,349,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,3101,0,2507
1776822594410,3998,T02_Assessment,200,"Number of samples in transaction : 5, number of failing samples : 0",Virtual Student 1-1,,true,,65916,10179,1,1,null,0,970,0
1776822594414,490,GET Learning Assessment Page/API,200,OK,Virtual Student 1-1,text,true,,724,2043,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,490,0,0
1776822594905,477,GET Questionnaire Page,200,OK,Virtual Student 1-1,text,true,,2637,2027,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,476,0,0
1776822595383,485,POST User Questionnaire Session ID,200,OK,Virtual Student 1-1,text,true,,638,2066,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,485,0,0
1776822595870,996,GET newUserQuestionnaire Page,200,OK,Virtual Student 1-1,text,true,,650,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/1139,996,0,0
1776822596868,1550,GET All Questions,200,OK,Virtual Student 1-1,text,true,,61267,2027,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,549,0,0
1776822599381,23584,T03_Learning_Space,200,"Number of samples in transaction : 12, number of failing samples : 0",Virtual Student 1-1,,true,,265481,76384,1,1,null,0,37880,1247
1776822599382,481,GET Subscription Active,200,OK,Virtual Student 1-1,text,true,,2699,2099,1,1,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,481,0,0
1776822599865,528,GET Subjects,200,OK,Virtual Student 1-1,text,true,,7897,2075,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/subjects,527,0,0
1776822600394,467,GET Tags,200,OK,Virtual Student 1-1,text,true,,730,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags,467,0,0
1776822600863,475,GET Tags By SubjectIds,200,OK,Virtual Student 1-1,text,true,,713,2113,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",475,0,0
1776822601340,461,GET Textbook Learning Resources,200,OK,Virtual Student 1-1,text,true,,1463,2148,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=TEXTBOOK&subjectIds=2,14,15,6,7&limit=12&offset=0",461,0,0
1776822601803,992,GET Navigate TextBook,200,OK,Virtual Student 1-1,text,true,,53076,2098,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/14/navigation,702,0,0
1776822602797,522,GET Learning Study Notes,200,OK,Virtual Student 1-1,text,true,,14205,2151,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=STUDY_NOTES&subjectIds=2,14,15,6,7&limit=12&offset=0",503,0,0
1776822603321,568,GET Study Notes Details,200,OK,Virtual Student 1-1,text,true,,44568,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/study-notes/3283/detail,480,0,0
1776822603890,511,GET Flashcards,200,OK,Virtual Student 1-1,text,true,,9984,2150,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=FLASHCARDS&subjectIds=2,14,15,6,7&limit=12&offset=0",480,0,0
1776822604402,1824,GET Quiz,200,OK,Virtual Student 1-1,text,true,,9608,2144,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=QUIZ&subjectIds=2,14,15,6,7&limit=12&offset=0",501,0,0
1776822606226,15810,T03A_Navigate_Quiz_And_Answer_10Q,200,"Number of samples in transaction : 25, number of failing samples : 0",Virtual Student 1-1,,true,,106245,53134,1,1,null,0,37863,1247
1776822607740,1115,GET Quiz Detail 2808,200,OK,Virtual Student 1-1,text,true,,66630,2086,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/detail,576,0,0
1776822610366,474,GET Quiz 2808,200,OK,Virtual Student 1-1,text,true,,1350,2079,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808,474,0,0
1776822612348,475,POST Start Quiz Attempt 2808,200,OK,Virtual Student 1-1,text,true,,567,2108,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts,475,0,0
1776822614375,470,GET Quiz Item 1826,200,OK,Virtual Student 1-1,text,true,,1232,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1826,470,0,0
1776822616448,470,POST Quiz Answer 1826,200,OK,Virtual Student 1-1,text,true,,980,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/562/items/1826/answer,470,0,0
1776822618433,1431,GET Quiz Item 1827,200,OK,Virtual Student 1-1,text,true,,1304,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1827,1430,0,0
1776822621367,489,POST Quiz Answer 1827,200,OK,Virtual Student 1-1,text,true,,999,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/562/items/1827/answer,489,0,0
1776822623359,475,GET Quiz Item 1828,200,OK,Virtual Student 1-1,text,true,,1643,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1828,475,0,0
1776822625343,664,POST Quiz Answer 1828,200,OK,Virtual Student 1-1,text,true,,966,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/562/items/1828/answer,664,0,0
1776822627511,526,GET Quiz Item 1829,200,OK,Virtual Student 1-1,text,true,,1395,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1829,526,0,0
1776822629551,472,POST Quiz Answer 1829,200,OK,Virtual Student 1-1,text,true,,930,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/562/items/1829/answer,472,0,0
1776822631526,458,GET Quiz Item 1830,200,OK,Virtual Student 1-1,text,true,,1138,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1830,458,0,0
1776822633492,702,POST Quiz Answer 1830,200,OK,Virtual Student 1-1,text,true,,957,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/562/items/1830/answer,702,0,0
1776822635699,460,GET Quiz Item 1831,200,OK,Virtual Student 1-1,text,true,,1446,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1831,460,0,0
1776822637666,480,POST Quiz Answer 1831,200,OK,Virtual Student 1-1,text,true,,980,2175,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/attempts/562/items/1831/answer,480,0,0
1776822639653,455,GET Quiz Item 1832,200,OK,Virtual Student 1-1,text,true,,1147,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/quizzes/2808/items/1832,454,0,0
