timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776824824337,2138,T01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Virtual Student 1-1,,true,,2892,349,1,1,null,0,1277,1504
1776824824392,2138,POST API Login,200,OK,Virtual Student 1-1,text,true,,2892,349,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,2138,0,1504
1776824827755,3340,T02_Assessment,200,"Number of samples in transaction : 5, number of failing samples : 0",Virtual Student 1-1,,true,,65916,10179,1,1,null,0,517,0
1776824827757,475,GET Learning Assessment Page/API,200,OK,Virtual Student 1-1,text,true,,724,2043,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,475,0,0
1776824828234,492,GET Questionnaire Page,200,OK,Virtual Student 1-1,text,true,,2637,2027,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,492,0,0
1776824828728,488,POST User Questionnaire Session ID,200,OK,Virtual Student 1-1,text,true,,638,2066,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,488,0,0
1776824829218,460,GET newUserQuestionnaire Page,200,OK,Virtual Student 1-1,text,true,,650,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/1142,460,0,0
1776824829680,1425,GET All Questions,200,OK,Virtual Student 1-1,text,true,,61267,2027,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,502,0,0
1776824831613,22445,T03_Learning_Space,200,"Number of samples in transaction : 12, number of failing samples : 0",Virtual Student 1-1,,true,,265481,76384,1,1,null,0,37941,1284
1776824831613,481,GET Subscription Active,200,OK,Virtual Student 1-1,text,true,,2699,2099,1,1,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,481,0,0
1776824832095,479,GET Subjects,200,OK,Virtual Student 1-1,text,true,,7897,2075,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/subjects,478,0,0
1776824832576,511,GET Tags,200,OK,Virtual Student 1-1,text,true,,730,2090,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags,511,0,0
1776824833088,469,GET Tags By SubjectIds,200,OK,Virtual Student 1-1,text,true,,713,2113,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",469,0,0
1776824833558,466,GET Textbook Learning Resources,200,OK,Virtual Student 1-1,text,true,,1463,2148,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=TEXTBOOK&subjectIds=2,14,15,6,7&limit=12&offset=0",466,0,0
1776824834025,1663,GET Navigate TextBook,200,OK,Virtual Student 1-1,text,true,,53076,2098,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/14/navigation,750,0,0
